Transaction	Supplier	Type	Date	PLU	Paid	"Curve /
Bleap"	Value
WhatYouExpect	Vale	Surveys	13/03/2026		-	-	5.00€
beRuby	PayPal	Surveys	09/03/2026	-	-	-	10.00€
WhatYouExpect	Vale	Surveys	05/03/2026		-	-	5.00€
EarnStar	PayPal	Surveys	28/02/2026	-	-	-	1.64€
PrimeOpinion	Revolut	Surveys	28/02/2026	-	-	-	3.00€
AttaPoll	PayPal	Surveys	28/02/2026	-	-	-	9.05€
Coupert	Vale	Surveys	31/12/2025		-	-	4.87€
Top Surveys	PayPal	Surveys	31/01/2026	-	-	-	1.00€
PrimeOpinion	Revolut	Surveys	31/01/2026	-	-	-	3.00€
MultiPolls	PayPal	Surveys	31/01/2026	-	-	-	7.00€
EarnStar	PayPal	Surveys	31/01/2026	-	-	-	4.00€
Questionários Online	Vale	Surveys	16/01/2026	-	-	-	10.00€
WhatYouExpect	Vale	Surveys	09/01/2026		-	-	5.00€
WhatYouExpect	Vale	Surveys	09/01/2026		-	-	5.00€
beRuby	PayPal	Surveys	02/01/2026	-	-	-	10.00€
MultiPolls	PayPal	Surveys	31/12/2025	-	-	-	7.00€
Coupert	Vale	Surveys	31/12/2025		-	-	6.00€
Top Surveys	PayPal	Surveys	31/12/2025	-	-	-	1.00€
HeyCash	PayPal	Surveys	31/12/2025	-	-	-	1.00€
AttaPoll	PayPal	Surveys	31/12/2025	-	-	-	14.55€
EarnStar	PayPal	Surveys	31/12/2025	-	-	-	37.00€
EarnStar	PayPal	Surveys	30/11/2025	-	-	-	8.32€
Coupert	Vale	Surveys	30/11/2025		-	-	10.00€
Top Surveys	PayPal	Surveys	30/11/2025	-	-	-	2.00€
PrimeOpinion	Revolut	Surveys	30/11/2025	-	-	-	2.00€
HeyCash	PayPal	Surveys	30/11/2025	-	-	-	3.00€
AttaPoll	PayPal	Surveys	30/11/2025	-	-	-	14.02€
beRuby	PayPal	Surveys	30/11/2025	-	-	-	10.00€
WhatYouExpect	Vale	Surveys	07/11/2025		-	-	5.00€
WhatYouExpect	Vale	Surveys	04/11/2025		-	-	5.00€
PrimeOpinion	Revolut	Surveys	31/10/2025	-	-	-	1.00€
AttaPoll	PayPal	Surveys	31/10/2025	-	-	-	16.18€
AttaPoll	PayPal	Surveys	31/10/2025	-	-	-	11.85€
HeyCash	PayPal	Surveys	31/10/2025	-	-	-	2.00€
MultiPolls	PayPal	Surveys	31/10/2025	-	-	-	7.00€
EarnStar	PayPal	Surveys	31/10/2025	-	-	-	10.09€
Questionários Online	Vale	Surveys	13/10/2025	-	-	-	15.00€
Top Surveys	PayPal	Surveys	02/10/2025	-	-	-	5.00€
AttaPoll	PayPal	Surveys	30/09/2025	-	-	-	5.54€
PrimeOpinion	Revolut	Surveys	30/09/2025	-	-	-	1.00€
AttaPoll	PayPal	Surveys	30/09/2025	-	-	-	5.64€
HeyCash	PayPal	Surveys	30/09/2025	-	-	-	1.00€
EarnStar	PayPal	Surveys	30/09/2025	-	-	-	2.00€
Nicequest - Amazon	Vale	Surveys	24/09/2025	-	-	-	5.00€
WhatYouExpect	Vale	Surveys	04/09/2025		-	-	5.00€
beRuby	PayPal	Surveys	02/09/2025	-	-	-	10.00€
Cash Giraffe	PayPal	Surveys	31/08/2025	-	-	$0.35	0.31€
HeyCash	PayPal	Surveys	31/08/2025	-	-	-	2.00€
HeyCash	PayPal	Surveys	31/08/2025	-	-	-	3.00€
MultiPolls	PayPal	Surveys	31/08/2025	-	-	-	7.00€
EarnStar	PayPal	Surveys	31/08/2025	-	-	-	8.00€
AttaPoll	PayPal	Surveys	31/08/2025	-	-	-	7.99€
AttaPoll	PayPal	Surveys	31/08/2025	-	-	-	8.74€
beRuby	PayPal	Surveys	29/08/2025	-	-	-	10.00€
Inquérito Mastercard	Vale	Surveys	11/08/2025	-	-	-	20.00€
Nicequest - Amazon	Vale	Surveys	08/08/2025	-	-	-	5.00€
PrimeOpinion	Revolut	Surveys	31/07/2025	-	-	-	4.00€
AttaPoll	PayPal	Surveys	31/07/2025	-	-	-	8.70€
AttaPoll	PayPal	Surveys	31/07/2025	-	-	-	7.02€
HeyCash	PayPal	Surveys	31/07/2025	-	-	-	5.00€
MultiPolls	PayPal	Surveys	31/07/2025	-	-	-	7.00€
EarnStar	PayPal	Surveys	31/07/2025	-	-	-	5.00€
EarnStar	PayPal	Surveys	14/07/2025	-	-	-	5.00€
Cash Giraffe	PayPal	Surveys	06/07/2025	-	-	-	0.50€
Nicequest - Amazon	Vale	Surveys	04/07/2025	-	-	-	5.00€
AttaPoll	PayPal	Surveys	30/06/2025	-	-	-	8.09€
AttaPoll	PayPal	Surveys	30/06/2025	-	-	-	10.32€
HeyCash	PayPal	Surveys	30/06/2025	-	-	-	9.00€
beRuby	PayPal	Surveys	27/06/2025	-	-	-	10.00€
Nicequest - Amazon	Vale	Surveys	18/06/2025	-	-	-	5.00€
BoutiquedeOpiniões	Vale	Surveys	04/06/2025		-	-	20.00€
MultiPolls	PayPal	Surveys	04/06/2025	-	-	-	7.00€
HeyCash	PayPal	Surveys	31/05/2025	-	-	-	4.00€
AttaPoll	PayPal	Surveys	31/05/2025	-	-	-	11.80€
AttaPoll	PayPal	Surveys	31/05/2025	-	-	-	7.04€
beRuby	PayPal	Surveys	30/05/2025	-	-	-	10.00€
Nicequest - Amazon	Vale	Surveys	28/05/2025	-	-	-	5.00€
PrimeOpinion	PayPal	Surveys	27/05/2025	-	-	-	5.00€
Poll Pay	PayPal 	Surveys	22/05/2025	-	-	-	5.00€
Nicequest - Amazon	Vale	Surveys	16/05/2025	-	-	-	5.00€
HeyCash	PayPal	Surveys	30/04/2025	-	-	-	3.00€
AttaPoll	PayPal	Surveys	30/04/2025	-	-	-	5.63€
AttaPoll	PayPal	Surveys	30/04/2025	-	-	-	3.09€
Nicequest - Amazon	Vale	Surveys	21/04/2025	-	-	-	5€
YouGov	TB	Surveys	17/04/2025	-	-	-	25.00€
HeyCash	PayPal	Surveys	31/03/2025	-	-	-	1.00€
AttaPoll	PayPal	Surveys	31/03/2025	-	-	-	3.22€
AttaPoll	PayPal	Surveys	31/03/2025	-	-	-	5.74€
beRuby	PayPal	Surveys	01/03/2025	-	-	-	10.00€
HeyCash	PayPal	Surveys	28/02/2025	-	-	-	1.00€
HeyCash	PayPal	Surveys	28/02/2025	-	-	-	2.00€
AttaPoll	PayPal	Surveys	28/02/2025	-	-	-	6.79€
AttaPoll	PayPal	Surveys	28/02/2025	-	-	-	3.99€
Poll Pay	PayPal 	Surveys	27/02/2025	-	-	-	5.00€
Nicequest - Amazon	Vale	Surveys	20/02/2025	-	-	-	5€
HeyCash	PayPal	Surveys	31/01/2025	-	-	-	1.00€
AttaPoll	PayPal	Surveys	30/01/2025	-	-	-	4.97€
AttaPoll	PayPal	Surveys	30/01/2025	-	-	-	4.96€
HeyCash	PayPal	Surveys	30/01/2025	-	-	-	2.00€
MultiPolls	PayPal	Surveys	30/01/2025	-	-	-	7.00€
Nicequest - Amazon	Vale	Surveys	30/01/2025	-	-	-	5€
beRuby	TB	Surveys	10/01/2025	-	-	-	10.00€
beRuby	PayPal	Surveys	09/01/2025	-	-	-	10.00€
MultiPolls	PayPal	Surveys	31/12/2024	-	-	-	7.00€
HeyCash	PayPal	Surveys	31/12/2024	-	-	-	2.00€
HeyCash	PayPal	Surveys	31/12/2024	-	-	-	1.00€
HeyCash	PayPal	Surveys	31/12/2024	-	-	-	2.00€
AttaPoll	PayPal	Surveys	31/12/2024	-	-	-	8.63€
Nicequest - Amazon	Vale	Surveys	06/12/2024	-	-	-	5€
AttaPoll	MBWay	Surveys	30/11/2024	-	-	-	5.47€
HeyCash	PayPal	Surveys	30/11/2024	-	-	-	10.00€
HeyCash	PayPal	Surveys	30/11/2024	-	-	-	5.00€
AttaPoll	MBWay	Surveys	30/11/2024	-	-	-	5.00€
